,VitaminC
0,2.7
1,0.0
2,0.0
3,0.0
4,16.0
5,6.3
6,0.0
7,0.0
8,7.2
9,0.5
10,0.0
11,0.0
12,1.2
13,0.0
14,0.0
15,1.7
16,1.0
17,0.7
18,3.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.9
24,
25,0.4
26,
27,0.0
28,23.0
29,0.0
30,3.2
31,0.6
32,10.5
33,0.0
34,1.6
35,1.6
36,0.0
37,0.8
38,2400.0
39,0.0
40,5.9
41,0.0
42,0.0
43,8.0
44,4.8
45,0.0
46,28.0
47,0.0
48,0.3
49,0.0
50,0.3
51,7.9
52,
53,13.1
54,7.9
55,0.0
56,1.8
57,2.8
58,0.1
59,8.8
60,9.7
61,1.0
62,0.0
63,1.0
64,
65,0.0
66,
67,0.0
68,0.0
69,26.0
70,0.0
71,1.9
72,0.0
73,1.4
74,26.3
75,2.0
76,1.5
77,
78,
79,0.0
80,0.1
81,0.3
82,32.2
83,
84,10.6
85,0.0
86,1.4
87,0.0
88,0.1
89,
90,0.0
91,15.8
92,0.0
93,
94,0.0
95,0.0
96,
97,0.0
98,
99,1.2
100,0.0
101,1.8
102,6.0
103,0.0
104,
105,0.0
106,0.0
107,0.0
108,0.0
109,54.1
110,0.2
111,0.4
112,6.2
113,
114,12.0
115,26.2
116,0.0
117,4.1
118,0.3
119,
120,
121,
122,0.0
123,0.0
124,0.9
125,
126,0.0
127,0.7
128,0.0
129,0.0
130,12.9
131,0.0
132,0.0
133,0.7
134,0.0
135,0.0
136,0.0
137,0.0
138,9.9
139,
140,0.0
141,62.5
142,155.6
143,5.0
144,0.0
145,0.0
146,20.7
147,0.1
148,0.0
149,6.0
150,
151,0.3
152,2.8
153,0.0
154,
155,0.0
156,0.0
157,5.9
158,27.4
159,1.0
160,47.0
161,14.0
162,
163,0.0
164,5.6
165,
166,25.0
167,53.2
168,0.0
169,24.9
170,21.2
171,0.4
172,0.7
173,0.0
174,85.0
175,
176,0.0
177,0.0
178,0.0
179,0.0
180,1.9
181,5.0
182,2.8
183,
184,0.8
185,0.0
186,20.0
187,0.0
188,34.0
189,7.4
190,38.2
191,1.0
192,0.0
193,0.9
194,0.3
195,
196,0.3
197,
198,0.0
199,0.0
200,0.0
201,14.8
202,23.1
203,0.0
204,0.0
205,16.5
206,0.1
207,0.0
208,0.0
209,
210,1.1
211,0.0
212,0.0
213,
214,0.1
215,0.0
216,0.0
217,0.0
218,1.2
219,17.1
220,0.0
221,21.0
222,0.0
223,0.0
224,0.0
225,2.5
226,0.7
227,0.0
228,0.0
229,0.0
230,33.3
231,0.0
232,
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.9
240,12.8
241,
242,1.8
243,41.2
244,0.9
245,242.5
246,0.0
247,3.3
248,7.8
249,0.0
250,10.5
251,2.4
252,3.0
253,
254,0.0
255,22.2
256,12.8
257,25.0
258,0.0
259,0.0
260,0.0
261,0.0
262,8.7
263,58.7
264,0.0
265,0.0
266,16.0
267,0.0
268,1.0
269,13.9
270,
271,0.0
272,25.0
273,0.0
274,1.9
275,0.7
276,0.0
277,0.7
278,4.8
279,0.0
280,12.0
281,
282,33.0
283,489.9
284,0.0
285,0.0
286,6.2
287,8.0
288,0.0
289,
290,0.0
291,0.2
292,11.0
293,16.0
294,0.0
295,0.0
296,0.0
297,58.2
298,0.0
299,0.0
300,1.2
301,8.5
302,0.0
303,0.0
304,20.0
305,48.2
306,19.4
307,0.0
308,8.7
309,1.7
310,0.0
311,2.2
312,54.0
313,0.0
314,8.1
315,0.0
316,0.2
317,3.7
318,0.1
319,108.8
320,0.0
321,25.0
322,0.0
323,7.0
324,0.0
325,0.0
326,0.0
327,3.0
328,4.0
329,0.0
330,0.0
331,0.0
332,0.0
333,
334,0.9
335,0.3
336,0.0
337,0.0
338,48.0
339,9.0
340,0.2
341,3.9
